Recency,Frequency,Monetary,Cluster
19,11,1789.77,3
9,8,4485.72,3
1,3,1316.66,3
82,3,348.71000000000004,3
9,6,1933.48,3
60,4,1662.28,3
15,1,125.22,3
30,1,349.83000000000004,3
131,1,1089.18,3
92,2,716.35,3
43,3,12601.830000000002,3
29,1,363.95,3
22,4,5568.35,3
20,17,13400.24,0
30,3,981.18,3
36,1,372.7,3
75,2,1000.39,3
47,2,1161.5,3
198,2,207.8,1
166,1,95.2,1
79,1,964.83,3
358,1,168.0,1
39,2,437.82,3
8,10,3692.28,3
50,2,603.71,3
16,5,11990.96,3
8,1,269.96,3
311,2,561.71,1
5,3,2134.01,3
303,1,238.85,1
8,7,3781.74,3
261,1,456.9,1
289,1,145.92,1
86,1,351.65,3
23,10,9401.28,3
2,32,4124.69,0
40,2,519.61,3
9,2,1020.42,3
227,1,160.54000000000002,1
316,1,218.45,1
36,5,1315.83,3
35,3,657.8,3
21,2,2794.51,3
78,1,440.42,3
247,1,415.7,1
40,1,197.71,3
239,2,511.36,1
3,15,7281.38,0
4,9,2338.15,3
234,2,2040.1,1
17,1,196.94000000000003,3
8,1,144.0,3
39,1,214.9,3
29,2,646.68,3
211,2,9864.26,1
317,1,452.85,1
92,2,437.6,3
109,3,418.1,3
38,10,3338.2200000000003,3
51,2,618.27,3
19,4,3811.22,3
10,8,3023.08,3
29,7,1032.58,3
29,10,2599.04,3
190,5,577.0600000000001,1
59,1,153.12,3
22,1,739.1999999999999,3
79,2,254.18,3
60,1,1579.51,3
78,3,1126.85,3
23,5,2099.54,3
52,1,1193.32,3
74,1,704.0400000000001,3
57,5,3344.38,3
278,1,315.6,1
2,4,2291.19,3
95,2,713.3,3
29,1,355.53,3
22,1,177.31,3
16,9,3641.24,3
15,3,1339.41,3
2,20,13689.67,0
232,1,180.1,1
276,1,305.1,1
106,2,641.13,3
212,2,2683.82,1
23,9,6620.48,3
11,7,4478.53,3
4,3,786.46,3
10,2,1270.88,3
57,1,640.5,3
59,4,2163.98,3
90,2,1689.18,3
67,8,6021.9,3
33,1,671.69,3
239,1,486.1,1
24,3,1174.58,3
115,1,185.9,3
25,3,1013.26,3
128,6,3344.64,3
130,1,477.91,3
34,4,1775.18,3
5,2,1346.97,3
22,12,3722.82,3
155,1,318.05,1
107,3,623.51,3
3,1,314.44,3
335,1,114.0,1
331,1,919.98,1
149,2,2209.85,1
11,5,601.98,3
17,5,4051.17,3
11,4,1643.18,3
19,1,686.05,3
30,1,91.68,3
11,1,245.1,3
1,11,3849.78,3
8,9,4881.88,3
325,1,63.0,1
58,1,620.13,3
12,4,3807.15,3
151,3,2744.03,1
10,5,2996.05,3
330,1,225.9,1
5,2,610.52,3
39,4,1970.6,3
25,6,1331.39,3
42,12,17628.46,0
59,4,1113.02,3
1,4,862.81,3
15,22,13787.54,0
4,31,12288.22,0
4,15,8476.57,0
8,7,2283.63,3
28,6,2863.08,3
372,1,89.14,1
114,1,4873.81,3
26,2,1247.61,3
206,1,389.01,1
28,6,1035.8,3
127,4,855.91,3
70,2,869.67,3
7,4,582.1,3
29,3,957.59,3
8,4,4939.99,3
80,2,797.71,3
20,1,219.0,3
71,1,283.55,3
7,8,2340.84,3
15,9,6868.29,3
292,1,603.42,1
30,10,2712.91,3
15,15,9736.52,0
97,3,1149.02,3
29,13,4396.13,3
1,1,848.55,3
9,5,4708.86,3
106,1,353.86,3
4,2,1053.49,3
151,2,1030.98,1
71,1,238.25,3
5,2,644.95,3
3,25,5781.73,0
32,6,2656.13,3
85,4,997.63,3
4,5,725.07,3
5,4,1031.41,3
371,1,427.8,1
28,7,2609.1,3
11,7,3980.7,3
71,4,836.33,3
114,1,453.01,3
24,12,18895.91,0
180,1,236.26,1
234,1,383.95,1
353,1,110.4,1
315,2,779.5699999999999,1
333,1,234.0,1
372,1,155.35,1
78,2,1013.04,3
64,1,427.6,3
134,2,546.43,3
52,7,21279.29,0
2,11,4196.01,3
1,210,33719.73,2
4,5,4090.88,3
129,1,275.88,3
81,1,4366.78,3
23,6,21429.39,3
236,3,3010.74,1
281,2,3811.95,1
87,1,112.07999999999998,3
16,13,7857.1,0
117,2,2791.59,3
52,3,1531.44,3
8,2,1898.52,3
138,2,494.08,3
317,1,1693.88,1
4,7,6989.63,3
239,1,1143.6,1
211,1,1351.45,1
60,1,892.47,3
17,5,1386.04,3
20,6,822.23,3
38,8,3981.36,3
64,2,826.74,3
5,5,2330.92,3
2,6,2225.91,3
9,2,574.42,3
364,1,311.95,1
10,3,463.66,3
65,1,91.85,3
192,1,324.92,1
374,1,192.6,1
257,1,400.54,1
335,2,545.48,1
53,2,860.41,3
19,1,430.48,3
366,1,254.03,1
10,3,6977.04,3
187,1,427.58,1
37,3,483.65,3
178,1,489.31,1
261,3,514.85,1
45,1,229.64,3
102,1,125.92,3
148,2,1063.46,1
96,2,572.2,3
281,1,166.04,1
262,1,1542.08,1
3,4,942.34,3
214,1,92.72,1
71,2,948.88,3
75,5,1759.5,3
60,1,397.12,3
3,7,1474.72,3
6,3,430.15,3
3,6,1018.71,3
337,2,293.0,1
38,6,6814.64,3
262,1,215.05,1
32,2,383.03,3
145,1,417.38,1
283,1,312.38,1
59,4,2612.86,3
173,1,134.1,1
34,2,683.13,3
3,14,5591.42,0
144,4,2726.77,3
5,25,4022.35,0
70,2,1118.99,3
66,8,1702.26,3
29,2,325.96000000000004,3
267,4,354.09,1
22,1,871.54,3
31,2,1050.89,3
97,1,135.18,3
295,1,311.55,1
135,6,1957.1,3
79,3,1324.5,3
373,1,38.1,1
8,6,2179.93,3
211,2,1106.4,1
52,1,521.2,3
138,1,147.12,3
26,2,1568.23,3
283,1,559.12,1
26,7,4036.82,3
186,6,1607.0600000000002,1
84,2,380.64,3
327,2,599.97,1
282,1,374.0,1
143,2,343.2300000000001,3
58,2,2218.02,3
4,12,1535.77,3
236,2,854.99,1
45,3,573.22,3
276,1,298.0,1
9,2,1463.04,3
25,4,703.47,3
88,1,309.05,3
63,3,1175.22,3
68,2,1378.4,3
214,2,354.12,1
24,1,380.47,3
186,3,331.0,1
31,1,188.14,3
42,2,372.8,3
205,2,216.5,1
9,28,17654.54,0
265,1,138.68,1
18,2,509.58,3
12,5,2919.81,3
176,2,750.0,1
40,5,2178.67,3
23,8,3075.04,3
3,5,1662.3,3
5,5,2483.63,3
149,2,363.65,1
139,4,3006.15,3
128,1,594.0,3
8,6,1335.19,3
17,1,164.23,3
9,37,16587.09,0
161,1,405.38,1
64,1,176.97,3
88,4,933.7,3
5,2,694.05,3
35,5,2062.7000000000003,3
312,1,117.85,1
78,2,415.8,3
22,15,42055.96,0
24,3,607.53,3
2,7,2160.7,3
17,4,1063.9,3
15,4,1504.27,3
26,1,114.14,3
64,8,11581.8,3
55,2,913.54,3
131,3,683.9,3
36,2,604.51,3
288,1,462.95,1
144,6,1603.99,3
16,7,2064.95,3
31,8,4167.22,3
2,3,1843.0,3
9,6,1064.07,3
6,4,1387.79,3
10,1,329.85,3
1,11,4757.16,3
306,1,108.07,1
10,8,4017.54,3
7,2,266.39,3
8,8,1856.63,3
89,1,771.91,3
10,1,160.18,3
358,2,1660.9,1
112,1,135.95,3
7,4,452.24,3
4,86,11189.91,0
198,1,144.8,1
212,1,738.6,1
156,1,39.24,1
158,9,7374.900000000001,3
30,2,372.22,3
243,1,390.54,1
19,1,97.5,3
1,2,1239.38,3
74,2,558.7,3
292,1,535.32,1
3,15,6924.110000000001,0
31,3,409.5,3
23,2,503.76,3
23,4,414.76,3
4,3,974.42,3
85,1,211.32,3
22,4,1226.89,3
196,3,455.88,1
107,3,534.85,3
4,13,9818.82,0
318,1,120.95,1
106,3,149.05,3
12,18,5655.91,0
174,2,513.7,1
56,1,81.57,3
323,1,229.47,1
372,1,50.55,1
9,8,1661.84,3
1,13,4810.9400000000005,3
11,10,3466.28,3
53,5,3346.28,3
73,3,789.89,3
7,1,204.0,3
16,28,7277.7,0
4,9,2616.38,3
64,2,689.9,3
1,5,975.36,3
114,6,6912.0,3
23,2,661.3199999999999,3
31,3,1247.5,3
11,2,799.48,3
52,2,1010.18,3
357,1,190.55,1
55,2,642.77,3
74,2,921.88,3
138,3,881.07,3
80,3,908.46,3
9,2,676.99,3
273,1,516.42,1
291,1,560.47,1
99,1,305.28000000000003,3
31,2,629.31,3
32,10,3237.54,3
14,4,1835.91,3
64,2,656.6800000000001,3
15,17,5836.86,0
212,1,348.15000000000003,1
78,3,1214.41,3
25,3,271.40000000000003,3
250,1,183.4,1
254,1,307.53,1
72,1,248.61,3
191,1,346.98,1
13,4,1119.49,3
373,1,205.86,1
24,2,470.8,3
82,1,115.46,3
10,2,344.0,3
1,24,4436.12,0
192,1,228.8,1
267,1,177.15,1
130,1,919.61,3
1,4,729.27,3
3,26,12627.94,0
4,5,220.1,3
179,1,58.08,1
12,11,28337.38,0
126,9,3613.63,3
4,2,303.75,3
158,2,416.08,1
3,97,58825.83,2
9,14,8910.82,0
28,1,345.82,3
71,5,477.83,3
276,8,7832.47,1
21,12,1927.32,3
71,1,74.39999999999999,3
33,10,6010.42,3
1,28,28882.44,0
99,1,207.36,3
234,1,101.19,1
1,24,6424.09,0
40,1,243.94,3
3,6,1098.48,3
133,1,76.5,3
44,4,1531.62,3
373,1,350.06,1
60,2,786.54,3
31,7,1488.67,3
1,24,12245.96,0
12,4,2294.78,3
138,1,501.14,3
22,8,984.91,3
20,5,1197.81,3
239,1,30.6,1
269,1,283.73,1
94,2,922.39,3
90,3,3866.33,3
5,8,2099.64,3
78,1,259.17,3
94,1,64.0,3
23,3,1073.3,3
262,1,77.3,1
274,2,109.8,1
86,4,1793.58,3
197,1,3096.0,1
56,5,2607.61,3
11,8,3650.41,3
22,6,962.39,3
16,7,5064.94,3
108,3,423.72,3
85,5,2388.75,3
19,1,307.09,3
333,1,110.95,1
40,4,618.52,3
26,1,228.91,3
10,4,712.8000000000001,3
29,12,3707.12,3
14,4,1676.06,3
296,1,1257.87,1
6,1,486.22,3
33,4,971.76,3
49,4,1741.22,3
95,4,1201.06,3
9,4,1437.85,3
22,1,91.8,3
313,1,112.75,1
122,4,1688.29,3
46,2,1021.48,3
283,1,417.2,1
19,4,791.33,3
36,4,1319.19,3
64,2,712.88,3
27,1,116.01,3
22,3,468.41,3
4,2,353.65,3
16,3,2817.03,3
46,1,492.84,3
65,1,282.45,3
26,11,5725.47,3
45,1,121.18,3
8,9,3957.78,3
15,10,1701.29,3
268,1,71.4,1
40,3,1575.89,3
337,1,236.02,1
11,1,114.6,3
19,2,260.68,3
95,2,911.94,3
61,1,117.88,3
136,1,60.7,3
11,4,1797.78,3
10,6,3401.24,3
4,38,9817.12,0
19,4,870.09,3
10,4,869.46,3
15,2,250.26,3
59,6,1223.9,3
30,8,5891.61,3
94,1,353.48,3
10,3,1197.42,3
20,3,788.08,3
57,5,1520.58,3
268,1,333.74,1
122,3,533.98,3
127,1,62.63999999999999,3
78,4,819.2900000000001,3
240,2,847.41,1
200,2,163.20000000000002,1
60,2,2155.95,3
3,7,6463.84,3
273,1,108.21,1
202,1,257.7,1
81,1,358.0,3
226,1,160.95,1
4,14,2806.97,3
13,7,1357.6,3
74,2,605.12,3
212,1,1031.07,1
25,2,744.85,3
17,4,700.73,3
262,1,329.56,1
96,4,663.65,3
112,3,270.40000000000003,3
203,1,600.07,1
93,1,121.74,3
51,1,430.5,3
18,6,1987.3,3
18,4,501.12,3
125,2,465.68,3
92,3,711.41,3
157,2,1030.4,1
9,2,399.51,3
14,1,0.0,3
12,3,698.58,3
62,1,292.32,3
61,1,557.62,3
269,2,944.1,1
263,1,200.29,1
1,35,7454.07,0
53,5,2107.66,3
11,12,3834.26,3
3,19,4521.49,0
18,11,3214.69,3
1,15,5346.2300000000005,0
366,1,590.0,1
37,1,217.38,3
31,2,276.56,3
113,1,138.98,3
64,2,590.9300000000001,3
16,4,258.4,3
41,1,542.73,3
78,1,137.75,3
122,3,814.86,3
18,3,1132.14,3
60,2,93.66,3
331,1,201.19,1
23,4,2709.12,3
156,1,361.11,1
39,2,578.9399999999999,3
190,2,873.74,1
360,1,201.2,1
137,1,87.4,3
8,4,2089.85,3
1,1,360.0,3
268,1,142.5,1
169,1,371.89,1
104,4,618.09,3
155,1,63.75,1
351,1,300.42,1
4,10,2000.86,3
120,1,15.0,3
23,3,1385.51,3
7,5,1456.79,3
28,3,1132.03,3
4,2,598.57,3
22,5,1555.32,3
2,3,775.94,3
37,4,5977.7300000000005,3
66,6,2273.68,3
1,3,640.76,3
5,26,10845.55,0
78,4,1548.7,3
72,2,567.36,3
17,1,199.48,3
3,5,787.85,3
36,10,7121.95,3
82,1,675.3,3
39,8,3627.77,3
316,1,1308.48,1
32,2,789.0,3
93,3,1140.93,3
14,1,350.9,3
82,3,3536.82,3
77,1,795.12,3
158,1,487.02,1
201,1,860.12,1
45,7,10736.48,3
261,1,775.85,1
178,1,353.43,1
68,3,2543.72,3
288,1,389.5,1
70,1,341.36,3
64,1,233.76,3
11,1,247.32,3
16,2,979.12,3
66,1,373.94,3
60,1,397.98,3
71,1,743.53,3
122,1,674.7,3
80,1,768.24,3
257,1,609.95,1
269,1,439.03,1
64,1,439.56,3
9,4,3090.74,3
18,2,992.5,3
71,1,134.95999999999998,3
34,2,2225.37,3
50,1,56.16,3
257,2,623.4,1
366,1,308.28000000000003,1
372,1,754.87,1
90,1,378.64,3
61,3,3312.25,3
89,1,778.65,3
99,3,1019.76,3
26,3,572.56,3
32,6,3639.31,3
281,1,222.99,1
31,7,4151.93,3
330,1,534.57,1
131,2,677.1,3
11,3,797.96,3
75,1,544.08,3
204,1,59.8,1
2,8,2520.02,3
185,1,307.72,1
29,2,1360.99,3
73,5,1544.13,3
192,1,457.34,1
127,2,621.23,3
18,1,75.0,3
1,2,252.49,3
74,3,572.451,3
2,62,28117.04,0
24,5,1003.06,3
107,1,213.55,3
134,3,1390.5,3
44,2,712.5,3
5,2,640.83,3
12,18,6127.43,0
64,1,221.06,3
150,2,159.85,1
40,2,1851.08,3
64,1,2626.3,3
108,3,1624.21,3
1,10,3641.32,3
19,3,582.6,3
10,1,218.47,3
11,4,1006.8,3
19,2,679.45,3
67,2,1269.1,3
74,2,534.24,3
5,7,3809.89,3
2,1,196.89,3
14,7,3408.06,3
255,1,283.71,1
92,1,296.64,3
23,3,1129.14,3
17,6,3539.37,3
24,1,291.88,3
27,6,2043.72,3
26,5,2976.15,3
259,2,590.0,1
166,2,356.98,1
25,2,1058.34,3
18,6,1766.72,3
7,14,9646.57,0
29,2,183.44,3
39,3,1445.0,3
253,1,151.5,1
58,1,674.68,3
184,1,307.9,1
11,2,1083.71,3
2,37,5704.97,0
99,2,165.0,3
1,4,2531.58,3
61,2,422.64,3
236,1,229.59,1
191,4,1431.78,1
179,2,1238.47,1
38,6,1454.58,3
201,2,300.95,1
46,5,1804.56,3
232,1,184.64,1
66,1,140.34,3
241,1,313.8,1
233,1,454.24,1
78,3,1122.41,3
58,3,575.4,3
17,13,8968.31,0
105,4,449.52,3
52,10,1215.82,3
136,3,1269.84,3
275,2,618.63,1
312,1,316.26000000000005,1
8,5,2044.87,3
11,2,653.33,3
283,2,348.05,1
18,5,1159.11,3
23,3,1166.77,3
288,1,1340.32,1
17,3,292.0,3
71,1,216.85,3
64,1,295.93,3
73,4,4393.63,3
316,2,458.52,1
3,4,2479.16,3
244,1,110.97,1
9,7,979.72,3
1,4,1791.56,3
261,1,251.21,1
127,1,205.1,3
74,1,152.20000000000002,3
73,4,891.12,3
21,3,1389.41,3
60,3,2128.42,3
86,1,659.4399999999999,3
78,1,122.75,3
59,6,3624.35,3
1,3,1093.65,3
30,1,125.8,3
33,5,3964.88,3
41,5,680.1800000000001,3
15,2,628.78,3
34,7,2287.51,3
79,2,307.76,3
205,2,483.8,1
34,1,210.31,3
183,3,270.79,1
2,25,5870.08,0
1,7,3448.29,3
43,7,1280.85,3
86,3,631.34,3
40,2,291.41,3
12,3,626.99,3
96,2,682.41,3
26,7,918.2,3
319,1,91.8,1
66,12,3740.07,3
74,4,4149.28,3
28,2,584.06,3
6,4,605.06,3
7,1,174.37,3
216,1,141.86,1
82,3,1799.33,3
84,2,777.53,3
144,3,1749.02,3
19,2,240.22,3
41,2,874.71,3
173,1,192.85,1
17,2,373.75,3
243,1,239.49,1
13,12,2092.32,3
206,1,1384.25,1
50,2,294.4,3
23,5,732.0699999999999,3
10,18,6717.34,0
25,4,1687.6,3
15,2,467.04,3
309,1,118.0,1
156,1,781.03,1
307,1,142.4,1
64,1,712.4,3
16,9,2478.95,3
15,2,379.65,3
11,6,1981.92,3
65,3,1117.13,3
36,4,247.96,3
108,5,2037.08,3
53,1,396.97,3
6,2,697.04,3
47,1,180.17,3
1,21,5153.67,0
312,1,219.52,1
45,2,693.32,3
65,1,428.89,3
26,1,164.34,3
29,3,280.54,3
40,1,678.01,3
12,7,1131.88,3
89,3,1171.8,3
24,4,1610.46,3
319,1,417.69,1
40,3,544.18,3
174,1,177.34,1
117,1,213.85,3
31,5,747.78,3
253,1,257.23,1
59,5,1638.47,3
23,11,7792.36,3
5,7,2031.78,3
100,11,3070.42,3
25,5,2121.27,3
33,5,1575.16,3
68,1,1071.03,3
37,5,949.12,3
52,3,810.5,3
16,1,122.64,3
74,1,1033.34,3
216,1,354.8,1
31,3,519.44,3
16,4,2624.26,3
120,1,252.1,3
10,4,1678.12,3
257,2,346.6,1
17,6,1836.34,3
35,2,94.2,3
46,3,1095.08,3
43,6,2707.33,3
114,2,932.97,3
165,2,379.65,1
11,2,382.14,3
10,5,2639.17,3
206,2,1573.2,1
86,3,897.76,3
179,1,189.47,1
60,3,84.65,3
149,1,305.02,1
3,21,6363.59,0
51,2,218.55,3
75,1,349.7,3
301,2,186.39,1
19,2,396.92,3
151,2,486.8200000000001,1
152,1,232.6,1
1,4,3722.42,3
18,4,827.83,3
187,1,59.5,1
286,1,67.23,1
3,7,3119.44,3
183,1,72.0,1
63,1,910.0,3
59,1,172.25,3
25,3,1488.32,3
4,50,65039.62,0
31,15,2504.13,0
39,1,151.29999999999998,3
155,1,308.58000000000004,1
26,10,2265.12,3
318,1,99.5,1
5,9,2308.06,3
8,3,711.86,3
303,1,330.79,1
267,2,806.41,1
271,1,296.88,1
4,13,6328.05,0
32,1,180.48,3
219,2,252.06,1
247,1,228.84,1
281,5,1079.34,1
269,1,138.28,1
32,6,1445.01,3
246,2,306.55,1
15,5,1041.68,3
117,4,799.9,3
36,1,524.14,3
132,3,2375.41,3
217,1,199.85,1
50,8,1980.56,3
39,2,1079.66,3
29,2,333.48,3
37,6,1016.14,3
136,2,752.6,3
219,2,610.59,1
28,1,491.86,3
25,4,2885.24,3
5,2,731.9,3
200,1,339.6,1
18,1,216.9,3
241,1,350.75,1
72,3,668.4300000000001,3
17,12,3131.02,3
3,7,1341.6,3
95,2,1156.36,3
162,1,300.04,1
374,1,79.6,1
96,5,948.25,3
54,5,1647.26,3
288,1,296.25,1
124,6,1186.28,3
288,1,741.26,1
152,2,282.6,1
4,9,2161.35,3
2,14,5189.52,0
12,7,3190.55,3
33,2,659.4100000000001,3
54,2,286.79,3
50,2,1070.65,3
219,1,306.72,1
63,1,1714.96,3
71,3,1521.76,3
2,37,17220.36,0
2,10,2796.51,3
64,4,2634.45,3
34,3,1132.13,3
82,1,345.0,3
1,33,25977.16,0
103,1,178.7,3
7,2,360.01,3
251,1,127.84,1
13,6,912.0,3
10,11,2462.79,3
367,1,230.4,1
76,2,309.04,3
4,1,348.8,3
128,2,1516.0,3
66,2,195.55,3
1,57,37153.85,0
117,2,688.86,3
310,1,558.32,1
67,1,324.8,3
139,3,4599.42,3
255,1,277.07,1
31,7,2635.79,3
52,2,924.6,3
64,1,256.38,3
367,1,112.6,1
6,5,1747.66,3
305,1,155.05,1
29,3,1499.01,3
184,3,814.5,1
42,3,539.0,3
40,4,1366.86,3
92,2,1579.12,3
22,4,4027.36,3
24,2,571.6700000000001,3
29,2,382.98,3
302,3,1140.35,1
145,2,385.64,1
6,2,632.0,3
19,2,957.66,3
33,5,1698.94,3
176,1,189.5,1
58,3,412.05,3
22,1,209.49,3
16,6,2202.99,3
19,1,52.2,3
159,1,384.8,1
25,4,834.57,3
212,2,271.24,1
6,4,691.73,3
253,1,85.0,1
59,9,3385.62,3
11,1,361.62,3
65,1,312.98,3
25,3,865.0600000000001,3
92,3,1255.0,3
52,2,1537.95,3
129,1,1595.48,3
96,3,2651.46,3
57,1,1090.14,3
9,25,8109.519999999999,0
169,3,388.5,1
57,1,216.17,3
326,1,201.16,1
1,5,1245.9,3
18,8,2209.36,3
248,1,305.78,1
58,4,501.56,3
74,1,145.67000000000002,3
31,3,1015.29,3
7,2,3192.54,3
123,4,3104.95,3
2,8,2770.94,3
23,13,6403.25,0
120,3,389.6,3
358,1,540.45,1
54,5,1786.79,3
64,1,122.7,3
86,1,117.24,3
55,1,1281.53,3
21,13,3219.77,3
4,20,17159.52,0
3,5,1191.13,3
11,5,2674.48,3
7,5,787.6,3
189,2,506.8,1
71,1,243.56,3
204,1,349.55,1
120,2,605.63,3
93,1,416.9,3
1,10,1883.81,3
27,4,632.97,3
298,1,821.1,1
24,3,564.62,3
28,4,2593.07,3
50,1,311.16,3
326,1,155.93,1
16,2,388.52,3
183,3,740.95,1
72,5,2867.2,3
37,2,332.64,3
80,4,2369.55,3
57,9,2580.91,3
12,2,626.45,3
50,2,272.04,3
50,2,1212.84,3
59,2,384.81,3
352,1,172.25,1
54,1,351.13,3
2,6,1838.85,3
93,4,678.25,3
23,1,223.85,3
75,1,348.99,3
11,4,464.57,3
169,2,842.65,1
58,2,337.34,3
96,2,1237.53,3
295,1,307.4,1
109,2,608.7900000000001,3
264,1,922.1,1
180,1,376.58,1
169,1,158.85,1
35,1,71.66,3
23,3,568.55,3
17,4,839.14,3
22,5,5112.96,3
79,3,561.5699999999999,3
65,1,90.6,3
361,1,102.0,1
3,6,2427.32,3
11,4,745.06,3
176,3,674.45,1
218,2,3251.071,1
7,7,3515.68,3
2,2,439.92,3
154,2,322.96,1
5,5,1026.42,3
79,3,598.2,3
21,2,230.22,3
22,2,169.55,3
308,4,664.54,1
146,1,80.7,1
7,18,9053.94,0
19,8,2758.26,3
71,2,190.25,3
287,1,264.7,1
49,1,413.59,3
31,6,2526.28,3
207,1,357.98,1
15,2,196.79,3
73,1,869.87,3
60,1,200.14,3
39,4,1871.81,3
30,12,2603.43,3
27,5,920.51,3
4,15,7060.13,0
17,1,320.46,3
20,6,4147.96,3
66,2,1266.08,3
213,1,311.3,1
12,6,855.97,3
30,1,76.8,3
43,9,3466.36,3
4,6,2313.14,3
15,5,1393.69,3
10,12,3901.81,3
211,1,635.66,1
46,3,2043.08,3
134,2,529.73,3
43,7,4582.64,3
10,5,2874.72,3
116,3,962.19,3
198,2,695.61,1
278,1,328.8,1
110,3,473.02,3
77,1,505.18,3
53,1,917.34,3
162,4,4341.21,1
47,3,1421.61,3
17,2,642.8,3
155,3,631.9,1
225,1,440.0,1
7,2,584.07,3
122,2,327.7,3
61,1,104.82,3
63,2,467.66,3
18,8,2360.09,3
7,19,17286.86,0
2,11,2975.59,3
22,3,651.8199999999999,3
29,5,1428.02,3
285,1,626.65,1
176,2,147.20000000000002,1
78,3,1560.38,3
33,1,152.2,3
41,12,3614.92,3
266,1,141.41,1
27,4,652.82,3
109,4,1659.75,3
284,1,154.99,1
9,5,1308.61,3
305,1,409.93,1
17,4,5681.72,3
32,2,746.36,3
1,23,15610.39,0
20,1,225.36,3
124,2,260.25,3
65,1,92.46,3
106,1,725.6400000000001,3
1,23,8214.65,0
24,17,6217.96,0
267,1,183.6,1
5,19,6140.42,0
10,12,10464.85,0
29,5,1353.74,3
267,1,152.55,1
64,2,374.7,3
320,1,265.85,1
4,8,1438.82,3
32,1,151.04,3
5,3,942.26,3
129,1,122.47,3
41,5,499.42,3
102,6,1049.37,3
125,1,375.1,3
33,1,45.6,3
302,2,934.52,1
365,1,182.25,1
4,9,1018.43,3
2,18,4448.54,0
3,1,194.42,3
10,13,50491.81,0
57,1,161.0,3
325,1,76.32000000000001,1
8,14,4076.91,0
12,1,442.85,3
4,17,65164.79,0
37,1,147.35,3
16,11,3104.17,3
138,1,194.9,3
74,6,5976.79,3
5,5,1360.28,3
155,2,216.21,1
239,1,1266.23,1
52,7,2703.23,3
31,2,597.91,3
73,1,144.2,3
4,12,5683.15,3
14,4,692.85,3
23,7,2915.15,3
4,4,1840.42,3
274,2,386.53,1
20,5,1382.74,3
144,1,90.0,1
4,4,2780.15,3
84,1,419.58,3
11,3,2740.43,3
8,3,706.1300000000001,3
123,3,709.71,3
61,2,637.5,3
2,5,1123.86,3
